X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,CITY_NAME2,POP_updated,POP_updated_year,POP_SOURCE_updated,comments
-6244244.606,-1760180.18,1,1,Cuiaba,BRA-MGR,Mato Grosso,BR,Brazil,Provincial capital,540814,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,Cuiaba,650877,2022,citypopulation.de,
-5331952.879,-1780660.511,2,2,Brasilia,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,2481272,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020,Brasilia,2817381,2022,citypopulation.de,
-5483041.697,-1889069.697,3,3,Goiania,BRA-GOI,Goias,BR,Brazil,Provincial capital,1297154,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020,Goiania,1555626,2021,citypopulation.de,
-6079824.826,-2326534.952,4,4,Campo Grande,BRA-MGD,Mato Grosso do Sul,BR,Brazil,Provincial capital,776242,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,Campo Grande,916001,2021,citypopulation.de,
-6205838.719,-2575640.106,5,5,Pedro Juan Caballero,PRY-AMM,Amambay,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Pedro Juan Caballero,127437,2021,citypopulation.de,
-6042789.502,-2759501.775,6,6,Salto del Guaira,PRY-CNN,Canindeyu,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Salto del Guaira,28553,2022,citypopulation.de,
-6080604.279,-2940614.457,7,7,Puerto Presidente Stroessner,PRY-APA,Alto Parana,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Puerto Presidente Stroessner,,,,
-6217305.18,-3170652.519,8,8,Encarnacion,PRY-ITA,Itapua,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Encarnacion,106842,2022,citypopulation.de,
-6223427.639,-3173284.956,9,9,Posadas,ARG-MSN,Misiones,AR,Argentina,Provincial capital,371896,4,"250,000 to 499,999",0,0,UN_Data_2010_2020,Posadas,275028,2010,citypopulation.de,
-7702418.158,-1414411.498,10,10,Puerto Maldonado,PER-MDD,Madre de Dios,PE,Peru,Provincial capital,0,0, ,0,0, ,Puerto Maldonado,100300,2022,citypopulation.de,
-8013556.592,-1519891.277,11,11,Cuzco,PER-CUS,Cusco,PE,Peru,Provincial capital,428450,4,"250,000 to 499,999",0,0,UN_Data_2010_2020,Cuzco,492400,2022,citypopulation.de,
-8113409.498,-1533176.061,12,12,Abancay,PER-APR,Apurimac,PE,Peru,Provincial capital,0,0, ,0,0, ,Abancay,64873,2017,citypopulation.de,
-7796149.618,-1786780.296,13,13,Puno,PER-PUN,Puno,PE,Peru,Provincial capital,128637,5,"100,000 to 249,999",0,1,UN_Data_2010_2020,Puno,128195,2017,citypopulation.de,
-7961903.892,-1850859.74,14,14,Arequipa,PER-ARQ,Arequipa,PE,Peru,Provincial capital,1080635,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020,Arequipa,1125400,2022,citypopulation.de,
-7586005.249,-1862583.584,15,15,La Paz,BOL-LPA,La Paz,BL,Bolivia,National and provincial capital,2143000,2,"1,000,000 to 4,999,999",0,1,UN_Habitat_2020,La Paz,3022566,2024,citypopulation.de,
