FID,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,geometry,CITY_NAME,POP_updated,POP_updated_year,capital,index__water,Name1__waterbody,Name2__waterbody,Name3__waterbody,TYPE__waterbody,ISO_CC__waterbody,SHAPE_Length__waterbody,SHAPE_Area__waterbody,distance_water,index__sea,Name1__sea,Name2__sea,Name3__sea,TYPE__sea,ISO_CC__sea,SHAPE_Length__sea,SHAPE_Area__sea,distance_sea,POP_rank_updated,city_type
1,BRA-MGR,Mato Grosso,BR,Brazil,Provincial capital,540814,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-6244244.60619658 -1760180.180467443),Cuiaba,650877,2022,0,58201,,,,Inland perennial,BR,5.444046159604834,0.0028046507309016457,0.9039140631148949,2326476,Atlantic Ocean,,,Ocean or Sea,,1.0645430242092426,0.007228952688435158,1420.018590713964,3,inland
2,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,2481272,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-5331952.879361961 -1780660.510942823),Brasilia,2817381,2022,1,2218993,Lago do Paranoá,,,Inland perennial,BR,0.8116374867850912,0.002990769329730528,4.012810793268717,2483520,Atlantic Ocean,,,Ocean or Sea,,1.0401157051811458,0.007083048202763298,929.2545814707934,2,inland
3,BRA-GOI,Goias,BR,Brazil,Provincial capital,1297154,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-5483041.6974857 -1889069.697082731),Goiania,1555626,2021,0,57486,,,,Inland perennial,BR,0.028150569715579894,2.267320300955505e-05,15.550003073321184,2776415,Atlantic Ocean,,,Ocean or Sea,,0.42218899057379966,0.0042440715020759315,906.9651403796535,2,inland
4,BRA-MGD,Mato Grosso do Sul,BR,Brazil,Provincial capital,776242,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-6079824.825958445 -2326534.951854925),Campo Grande,916001,2021,0,54367,,,,Inland perennial,BR,0.012473958781960328,8.271171256223183e-06,17.118757658811937,2326476,Atlantic Ocean,,,Ocean or Sea,,1.0645430242092426,0.007228952688435158,883.5995434231395,3,inland
5,PRY-AMM,Amambay,PA,Paraguay,Provincial capital,0,0, , ,POINT (-6205838.718538077 -2575640.105903361),Pedro Juan Caballero,127437,2021,0,53738,,,,Inland perennial,BR,0.01265254997436494,8.466572228491982e-06,14.526045734964834,2326476,Atlantic Ocean,,,Ocean or Sea,,1.0645430242092426,0.007228952688435158,852.927751121402,5,inland
6,PRY-CNN,Canindeyu,PA,Paraguay,Provincial capital,0,0, , ,POINT (-6042789.502115469 -2759501.774970011),Salto del Guaira,28553,2022,0,2239848,Rio Parana,,,Inland perennial,BR,27.096141936711636,0.12760574585213602,0.30968124136508274,2326476,Atlantic Ocean,,,Ocean or Sea,,1.0645430242092426,0.007228952688435158,637.6479812775739,7,inland
7,PRY-APA,Alto Parana,PA,Paraguay,Provincial capital,0,0, , ,POINT (-6080604.278863853 -2940614.457455647),Puerto Presidente Stroessner (Ciudad del Este ),325819,2022,0,1347372,,,,Inland perennial,PY,0.015782721420444998,9.914402052272495e-06,1.0987877647201147,2327334,Atlantic Ocean,,,Ocean or Sea,,0.355920033019072,0.0009817548441282233,650.8335761294678,4,inland
8,PRY-ITA,Itapua,PA,Paraguay,Provincial capital,0,0, , ,POINT (-6217305.17963822 -3170652.519287438),Encarnacion,106842,2022,0,2239847,Rio Parana,,,Inland perennial,AR,7.897352876840525,0.025364286700299297,0.20106392427243844,2378593,Atlantic Ocean,,,Ocean or Sea,,0.591384280196894,0.019001835226025724,716.7545021274245,5,inland
9,ARG-MSN,Misiones,AR,Argentina,Provincial capital,371896,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-6223427.639258976 -3173284.956371047),Posadas,275028,2010,0,2239847,Rio Parana,,,Inland perennial,AR,7.897352876840525,0.025364286700299297,2.9935865992093795,2378593,Atlantic Ocean,,,Ocean or Sea,,0.591384280196894,0.019001835226025724,721.2202761660758,4,inland
10,PER-MDD,Madre de Dios,PE,Peru,Provincial capital,0,0, , ,POINT (-7702418.158276482 -1414411.497839981),Puerto Maldonado,100300,2022,0,2240043,Rio Tambopata,,,Inland perennial,PE,4.317584378691131,0.004111916578916208,0.7297500776408468,2782184,Pacific Ocean,,,Ocean or Sea,,0.5736786971235356,0.012755280360224379,594.5636589090499,5,inland
