FID,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,geometry,CITY_NAME,POP_updated,POP_updated_year,capital,index__water,Name1__waterbody,Name2__waterbody,Name3__waterbody,TYPE__waterbody,ISO_CC__waterbody,SHAPE_Length__waterbody,SHAPE_Area__waterbody,distance_water,index__sea,Name1__sea,Name2__sea,Name3__sea,TYPE__sea,ISO_CC__sea,SHAPE_Length__sea,SHAPE_Area__sea,distance_sea,POP_rank_updated,city_type,all_coast,all_inland,single_city_cntry,UN
1,BRA-MGR,Mato Grosso,BR,Brazil,Provincial capital,540814,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-6244244.60619658 -1760180.180467443),Cuiaba,650877.0,2022.0,0,58201,,,,Inland perennial,BR,5.444046159604834,0.0028046507309016,0.9039140631148948,2326476,Atlantic Ocean,,,Ocean or Sea,,1.0645430242092426,0.0072289526884351,1420.018590713964,3,inland,0,0,0,1
2,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,2481272,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-5331952.879361961 -1780660.510942823),Brasilia,2817381.0,2022.0,1,2218993,Lago do Paranoá,,,Inland perennial,BR,0.8116374867850912,0.0029907693297305,4.012810793268717,2483520,Atlantic Ocean,,,Ocean or Sea,,1.0401157051811458,0.0070830482027632,929.2545814707934,2,inland,0,0,0,1
3,BRA-GOI,Goias,BR,Brazil,Provincial capital,1297154,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-5483041.6974857 -1889069.697082731),Goiania,1555626.0,2021.0,0,57486,,,,Inland perennial,BR,0.0281505697155798,2.267320300955505e-05,15.550003073321184,2776415,Atlantic Ocean,,,Ocean or Sea,,0.4221889905737996,0.0042440715020759,906.9651403796536,2,inland,0,0,0,1
4,BRA-MGD,Mato Grosso do Sul,BR,Brazil,Provincial capital,776242,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-6079824.825958445 -2326534.951854925),Campo Grande,916001.0,2021.0,0,54367,,,,Inland perennial,BR,0.0124739587819603,8.271171256223183e-06,17.118757658811937,2326476,Atlantic Ocean,,,Ocean or Sea,,1.0645430242092426,0.0072289526884351,883.5995434231395,3,inland,0,0,0,1
5,PRY-AMM,Amambay,PA,Paraguay,Provincial capital,0,0, , ,POINT (-6205838.718538077 -2575640.105903361),Pedro Juan Caballero,127437.0,2021.0,0,53738,,,,Inland perennial,BR,0.0126525499743649,8.466572228491982e-06,14.526045734964834,2326476,Atlantic Ocean,,,Ocean or Sea,,1.0645430242092426,0.0072289526884351,852.927751121402,5,inland,0,1,0,1
6,PRY-CNN,Canindeyu,PA,Paraguay,Provincial capital,0,0, , ,POINT (-6042789.502115469 -2759501.774970011),Salto del Guaira,28553.0,2022.0,0,2239848,Rio Parana,,,Inland perennial,BR,27.09614193671164,0.127605745852136,0.3096812413650827,2326476,Atlantic Ocean,,,Ocean or Sea,,1.0645430242092426,0.0072289526884351,637.6479812775739,7,inland,0,1,0,1
7,PRY-APA,Alto Parana,PA,Paraguay,Provincial capital,0,0, , ,POINT (-6080604.278863853 -2940614.457455647),Puerto Presidente Stroessner,325819.0,2022.0,0,1347372,,,,Inland perennial,PY,0.0157827214204449,9.914402052272495e-06,1.0987877647201147,2327334,Atlantic Ocean,,,Ocean or Sea,,0.355920033019072,0.0009817548441282,650.8335761294678,4,inland,0,1,0,1
8,PRY-ITA,Itapua,PA,Paraguay,Provincial capital,0,0, , ,POINT (-6217305.17963822 -3170652.519287438),Encarnacion,106842.0,2022.0,0,2239847,Rio Parana,,,Inland perennial,AR,7.897352876840525,0.0253642867002992,0.2010639242724384,2378593,Atlantic Ocean,,,Ocean or Sea,,0.591384280196894,0.0190018352260257,716.7545021274245,5,inland,0,1,0,1
9,ARG-MSN,Misiones,AR,Argentina,Provincial capital,371896,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-6223427.639258976 -3173284.956371047),Posadas,275028.0,2010.0,0,2239847,Rio Parana,,,Inland perennial,AR,7.897352876840525,0.0253642867002992,2.9935865992093795,2378593,Atlantic Ocean,,,Ocean or Sea,,0.591384280196894,0.0190018352260257,721.2202761660758,4,inland,0,0,0,1
10,PER-MDD,Madre de Dios,PE,Peru,Provincial capital,0,0, , ,POINT (-7702418.158276482 -1414411.497839981),Puerto Maldonado,100300.0,2022.0,0,2240043,Rio Tambopata,,,Inland perennial,PE,4.317584378691131,0.0041119165789162,0.7297500776408468,2782184,Pacific Ocean,,,Ocean or Sea,,0.5736786971235356,0.0127552803602243,594.5636589090499,5,inland,0,0,0,1
11,PER-CUS,Cusco,PE,Peru,Provincial capital,428450,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-8013556.592330236 -1519891.27676438),Cuzco,492400.0,2022.0,0,2220440,Laguna Qoricocha,,,Inland perennial,PE,0.0413725383600679,9.342166551090528e-05,11.11356057220066,2489706,Pacific Ocean,,,Ocean or Sea,,0.4337188291132607,0.0068836381453367,356.03978286320745,4,inland,0,0,0,1
12,PER-APR,Apurimac,PE,Peru,Provincial capital,0,0, , ,POINT (-8113409.498071329 -1533176.06073912),Abancay,64873.0,2017.0,0,1338752,,,,Inland perennial,PE,0.0149119192711245,1.1211621545072288e-05,11.541893471827096,2782048,Pacific Ocean,,,Ocean or Sea,,0.4532192943323774,0.0099639707832952,296.1903737118576,6,inland,0,0,0,1
13,PER-PUN,Puno,PE,Peru,Provincial capital,128637,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7796149.617582432 -1786780.295832233),Puno,128195.0,2017.0,0,1338160,,,,Inland perennial,PE,0.1456612823533424,0.0009285756242922,2.193488928217364,2782586,Pacific Ocean,,,Ocean or Sea,,1.0081777085972825,0.0413706615346939,232.6774555929019,5,inland,0,0,0,1
14,PER-ARQ,Arequipa,PE,Peru,Provincial capital,1080635,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-7961903.892228147 -1850859.740048405),Arequipa,1125400.0,2022.0,0,1338134,,,,Inland perennial,PE,0.0688698900312606,0.0001386321022777,26.24612409336786,2782458,Pacific Ocean,,,Ocean or Sea,,0.9606288211747342,0.0364653475856981,91.18098129545602,2,inland,0,0,0,1
15,BOL-LPA,La Paz,BL,Bolivia,National and provincial capital,2143000,2,"1,000,000 to 4,999,999",UN_Habitat_2020,POINT (-7586005.249440206 -1862583.583793999),La Paz,3022566.0,2024.0,1,48161,,,,Inland perennial,BO,0.0323048856027046,3.208470372615344e-05,14.085217277779453,2782463,Pacific Ocean,,,Ocean or Sea,,0.9691568644007832,0.0514381104740722,329.25625933090095,2,inland,0,1,0,1
16,WLF,Wallis & Futuna,WF,Wallis & Futuna,National and provincial capital,0,0, , ,POINT (-19609102.36643896 -1490973.371204516),Mata-Utu,11151.0,2023.0,1,2664620,Pacific Ocean,,,Ocean or Sea,,1.6521763007368546,0.0551735792758591,0.0188892060560434,2664620,Pacific Ocean,,,Ocean or Sea,,1.6521763007368546,0.0551735792758591,0.0188892060560434,7,coast,1,0,1,0
17,WSM,Samoa,WS,Samoa,National capital,37391,7,"Less than 50,000",UN_Data_2010_2020,POINT (-19117952.97555974 -1555525.219873155),Apia,35974.0,2021.0,1,2710004,Pacific Ocean,,,Ocean or Sea,,1.1466089581074594,0.0450978720495308,0.0,2710004,Pacific Ocean,,,Ocean or Sea,,1.1466089581074594,0.0450978720495308,0.0,7,coast,1,0,1,1
