CITY_NAME,FIPS_CNTRY,POP_updated,POP_updated_year,POP_SOURCE_updated,city_type,comments,coder,match
,AC,,,,,"All Saints, 3900, CP, almost 10km to the ocean",hb,1
,AC,,,,,Antigua and Barbuda,vj,1
Al Ain,AE,496205.0,2015.0,CityPopulation.de,inland,UAE,vj,1
Al Ain,AE,428620.0,2023.0,Abu Dhabi Census - 2023,Inland,,llt,1
,AF,,,,,Biggest lake: Hamun-e Helmand (dry) Ab-i-Estada: no direct city Band-e Amir -  has limited human habitation due to its protected status and rugged terrain.,hb,1
,AF,,,,,,llt,1
Ganja,AJ,299100,2019.0,CP,inland,,hb,1
Ganja,AJ,299100.0,2019.0,https://www.citypopulation.de/en/azerbaijan/cities/,Inland,,llt,1
Sevan,AM,18705,2020.0,CP,At Lake,Biggest body of water,hb,1
Sevan,AM,18705.0,2022.0,https://www.citypopulation.de/en/armenia/cities/,Inland,,llt,1
,AN,,,,Inland,https://www.estadistica.ad/portal/apps/sites/#/estadistica-ca,llt,1
,AN,,,,,"Estany de Juclà - no direct city. Llac d'Engolasters: 61,785.68 m²",hb,1
Bregenz,AU,29643,2024.0,CP,Lake,,hb,1
Bregenz,AU,29643.0,2024.0,https://www.citypopulation.de/en/austria/cities/,In Land,,llt,1
,BA,,,,,Riffa is a coastal city according to our definition.,vj,1
,BA,,,,,"Ar-Rifā, 79550, CP, almost 5km",hb,1
,BB,,,,,Area of Barbados is 432 sq. km. And has no inland cities.,vj,1
,BB,,,,,"Saint George, 19767, CP, almost 10km to the ocean",hb,1
,BC,,,,,,hb,0
Francistown,BC,103417.0,2022.0,https://www.citypopulation.de/en/botswana/,Inland,"If we take Garabone Dam. If not, 2nd city could be Sowa",llt,0
Burgges,BE,119869.0,2024.0,https://www.citypopulation.de/en/belgium/cities/,Inland,https://bestat.statbel.fgov.be/bestat/crosstable.xhtml?view=0187e818-1172-4f39-aade-53adf173f260,llt,0
Bruges,BE,58672.0,2024.0,be.STAT,coastal,Belgium,vj,0
,BF,,,,,,hb,1
,BF,,,,,The Bahamas is a collection of small islands and all cities are coastal (biggest island is 3439 sq. km.),vj,1
Neum,BK,4653.0,2013.0,https://www.citypopulation.de/en/bosnia/hercegovackoneretvanski/10685__neum/,Coastal,,llt,1
Neum,BK,4358.0,2022.0,CityPopulation.de,coastal,Bosnia and Herzegovina,vj,1
Copacabana,BL,17431.0,2024.0,https://www.citypopulation.de/en/bolivia/admin/la_paz/021701__copacabana/,Inland,Oruro with bigger poppulation 297497 but smaller lake/ Pop number @ Mun level,llt,0
Oruro,BL,264943,2012.0,CP,inland,red. 214 km² - biggest lake has no near by cities (Lake Titicaca),hb,0
Vileyka,BO,26811.0,2023.0,https://www.citypopulation.de/en/belarus/cities/,Inland,,llt,0
Salihorsk,BO,98590,2023.0,cp,inland,red. around 15 million (roughly) square meters - biggest lake has no near by cities (Narach Lake),hb,0
,BP,,,,,The solomon islands also has only coastal cities. The biggest island is 5309 sq. km.,vj,1
,BP,,,,,"Tigoa, 881, CP, less than 1000 and also 5km ",hb,1
,BT,,,,,No cities around the lake with proper population:distance (Bol [city]),llt,1
,BT,,,,,,hb,1
Varna,BU,365995.0,2023.0,Population by towns and sex | National statistical institute,coastal,Bulgaria,vj,1
Varna,BU,314607.0,2023.0,https://www.citypopulation.de/en/bulgaria/cities/,Coastal,Pop number @ city level,llt,1
,BX,,,,,Most settlement are along thr coast line/ https://deps.mofe.gov.bn/DEPD%20Documents%20Library/DOS/POP/2023/RPT.pdf,llt,1
,BX,,,,,All cities in Brunei are coastal,vj,1
Gitega,BY,41944,2008.0,CP,inland,,hb,1
Gitega,BY,41944.0,2008.0,https://www.citypopulation.de/en/burundi/cities/,Inland,,llt,1
Sihanoukville,CB,71082.0,2019.0,https://www.citypopulation.de/en/cambodia/cities/,Coastal,,llt,1
Sihanoukville,CB,73036.0,2019.0,Final General Population Census 2019-English.pdf,coastal,,vj,1
,CD,35963.0,2009.0,https://www.citypopulation.de/en/chad/,Inland,No cities around the lake with proper population:distance (Bol [city]),llt,0
Bol,CD,35963,2009.0,CP,inland,,hb,0
