FID,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,geometry,CITY_NAME,POP_updated,POP_updated_year,capital,index__water,Name1__waterbody,Name2__waterbody,Name3__waterbody,TYPE__waterbody,ISO_CC__waterbody,SHAPE_Length__waterbody,SHAPE_Area__waterbody,distance_water,index__sea,Name1__sea,Name2__sea,Name3__sea,TYPE__sea,ISO_CC__sea,SHAPE_Length__sea,SHAPE_Area__sea,distance_sea,POP_rank_updated,city_type,pop_diff
296,ABW,Aruba,AA,Aruba,National and provincial capital,28295,7,"Less than 50,000",UN_Data_2010_2020,POINT (-7795258.953739463 1405516.227970055),Oranjestad,81915,2020,1,2480950,Caribbean Sea,Atlantic Ocean,,Ocean or Sea,,1.2834718069792164,0.053652178088301444,1.4489999194684204,2480950,Caribbean Sea,Atlantic Ocean,,Ocean or Sea,,1.2834718069792164,0.053652178088301444,1.4489999194684204,6,coast,
1556,ATG,Antigua & Barbuda,AC,Antigua & Barbuda,National capital,0,0, , ,POINT (-6884239.60382339 1935354.668958882),Saint John's,185565,2021,1,2320234,Caribbean Sea,Atlantic Ocean,,Ocean or Sea,,1.8969676640636262,0.0459932597379938,0.6844503110008122,2320234,Caribbean Sea,Atlantic Ocean,,Ocean or Sea,,1.8969676640636262,0.0459932597379938,0.6844503110008122,5,coast,
2257,ARE-AZA,Abu Zaby,AE,United Arab Emirates,National and provincial capital,1539000,2,"1,000,000 to 4,999,999",UN_Habitat_2020,POINT (6052551.857334056 2811519.478346775),Abu Dhabi,1202756,2015,1,2485452,Persian Gulf,Indian Ocean,,Ocean or Sea,,3.5653104648524234,0.04751921847395281,2.3474581206615244,2485452,Persian Gulf,Indian Ocean,,Ocean or Sea,,3.5653104648524234,0.04751921847395281,2.3474581206615244,2,coast,
1072,AFG-KAB,Kabol,AF,Afghanistan,National and provincial capital,4136000,2,"1,000,000 to 4,999,999",UN_Habitat_2020,POINT (7696268.728135633 4100315.268073557),Kabul,4434600,2020,1,18,,,,Inland intermittent,AF,0.0683628710284043,0.00014320779744534274,6.996152844593032,2380670,Arabian Sea,Indian Ocean,,Ocean or Sea,,0.7022470098570962,0.009304339261248623,1192.1079751941056,2,inland,
1910,DZA-ALG,Alger,AG,Algeria,National and provincial capital,3608000,2,"1,000,000 to 4,999,999",UN_Habitat_2020,POINT (339524.5968838515 4408944.066085605),Algiers,2364230,2008,1,2759504,Mediterranean Sea,Atlantic Ocean,,Ocean or Sea,,1.3591983568971238,0.04753775068294854,1.5539633823446353,2759504,Mediterranean Sea,Atlantic Ocean,,Ocean or Sea,,1.3591983568971238,0.04753775068294854,1.5539633823446353,2,coast,
1927,DZA-BAT,Batna,AG,Algeria,Provincial capital,0,0, , ,POINT (687064.1558494179 4239835.49229873),Batna,1119791,2008,0,1230910,,,,Inland perennial,DZ,0.17165187866229645,0.0005974643712582159,36.35639813559562,2759347,Mediterranean Sea,Atlantic Ocean,,Ocean or Sea,,0.7838600743431768,0.021739447906622834,171.6121082073925,2,inland,1244439.0
2260,AZE-BAK,Baku,AJ,Azerbaijan,National and provincial capital,2270030,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (5545491.675859502 4913136.81289354),Baku,1291000,2019,1,2203312,Caspian Sea,,,Inland perennial,AZ,23.586846762751012,9.098667945346662,2.050031130478079,2677205,Persian Gulf,Indian Ocean,,Ocean or Sea,,1.232485863338471,0.01770214981436838,1364.705621756775,2,inland,
631,ALB-TIR,Tirane,AL,Albania,National and provincial capital,418495,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (2207688.627163694 5061435.007492984),Tirana,418495,2011,1,26469,,,,Inland perennial,AL,0.022339410786028514,1.283302951316828e-05,3.328278935132279,2709440,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,0.7050371171882701,0.02747075922775706,36.166383429535095,4,inland,
605,ALB-DRR,Durres,AL,Albania,Provincial capital,113249,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (2165609.867959815 5060694.538294576),Durres,113249,2011,0,2709440,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,0.7050371171882701,0.02747075922775706,1.8254640110602915,2709440,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,0.7050371171882701,0.02747075922775706,1.8254640110602915,5,coast,305246.0
781,ARM,Armenia,AM,Armenia,National capital,1079732,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (4957354.741848419 4896218.999234366),Yerevan,1086677,2022,1,26548,,,,Inland perennial,AM,0.030810174102594765,5.0988481244794625e-05,8.420699462122432,2351347,Mediterranean Sea,Atlantic Ocean,,Ocean or Sea,,1.065728184176604,0.046926266830031614,1047.2054633759076,2,inland,
1920,AND,Andorra,AN,Andorra,National capital,22205,7,"Less than 50,000",UN_Data_2010_2020,POINT (168834.081915411 5236173.475221044),Andorra La Valla,20719,2023,1,1254355,,,,Inland perennial,FR,0.016386657504337234,1.3961544423430363e-05,23.84839278827293,2802761,Mediterranean Sea,Atlantic Ocean,,Ocean or Sea,,0.6522355466541012,0.02170277307278197,169.73754732218742,7,inland,
2353,AGO-LUA,Luanda,AO,Angola,National and provincial capital,7555000,1,"5,000,000 and greater",UN_Habitat_2020,POINT (1473313.952495144 -984837.4753770076),Luanda,6759313,2014,1,2804249,Atlantic Ocean,,,Ocean or Sea,,0.12614964962591443,0.0004796694619389717,0.29506117162944717,2804249,Atlantic Ocean,,,Ocean or Sea,,0.12614964962591443,0.0004796694619389717,0.29506117162944717,1,coast,
2369,AGO-HUI,Huila,AO,Angola,Provincial capital,0,0, , ,POINT (1501922.501037818 -1679867.283072556),Lubango,600751,2014,0,26643,,,,Inland perennial,AO,0.024946768864208487,2.3665198437395877e-05,10.86598633973941,2710203,Atlantic Ocean,,,Ocean or Sea,,1.0682256622649307,0.058967443315556596,135.39996981900302,3,inland,6158562.0
18,ASM,American Samoa,AQ,American Samoa,National and provincial capital,3656,7,"Less than 50,000",UN_Data_2010_2020,POINT (-19001998.92927833 -1605024.613052656),Pago Pago,3000,2020,1,2486339,Pacific Ocean,,,Ocean or Sea,,2.595804784733006,0.05028048198499604,0.302532705861886,2486339,Pacific Ocean,,,Ocean or Sea,,2.595804784733006,0.05028048198499604,0.302532705861886,7,coast,
118,ARG-DFD,Distrito Federal,AR,Argentina,National and provincial capital,15416728,1,"5,000,000 and greater",UN_Data_2010_2020,POINT (-6506605.724084264 -4112697.465926597),Buenos Aires,3121707,2022,1,33452,,,,Inland perennial,AR,0.01502458940268973,1.626151783413167e-05,7.6251660632931815,2563578,Atlantic Ocean,,,Ocean or Sea,,0.6178548830324659,0.012074375393179192,9.315992216914378,2,coast,
