FID,CITY_NAME,CNTRY_NAME,FIPS_CNTRY,geometry,POP_updated,POP_rank_updated,capital,distance_sea,city_type,pop_diff,all_coast,all_inland,single_city_cntry,first_batch,UN
1556,Saint John's,Antigua & Barbuda,AC,POINT (-6884239.60382339 1935354.668958882),185565.0,5,1,0.6844503110008122,coast,,1,0,1,0,1
2257,Abu Dhabi,United Arab Emirates,AE,POINT (6052551.857334056 2811519.478346775),1202756.0,2,1,2.3474581206615244,coast,,1,0,0,0,1
1072,Kabul,Afghanistan,AF,POINT (7696268.728135633 4100315.268073557),4434600.0,2,1,1192.1079751941056,inland,,0,1,0,0,1
1910,Algiers,Algeria,AG,POINT (339524.5968838515 4408944.066085605),2364230.0,2,1,1.5539633823446353,coast,,0,0,0,1,1
1927,Batna,Algeria,AG,POINT (687064.1558494179 4239835.49229873),1119791.0,2,0,171.6121082073925,inland,1244439.0,0,0,0,1,1
2260,Baku,Azerbaijan,AJ,POINT (5545491.675859502 4913136.81289354),1291000.0,2,1,1364.705621756775,inland,,0,1,0,0,1
631,Tirana,Albania,AL,POINT (2207688.627163694 5061435.007492984),418495.0,4,1,36.166383429535095,inland,,0,0,0,1,1
605,Durres,Albania,AL,POINT (2165609.867959815 5060694.538294576),113249.0,5,0,1.8254640110602915,coast,305246.0,0,0,0,1,1
781,Yerevan,Armenia,AM,POINT (4957354.741848419 4896218.999234366),1086677.0,2,1,1047.2054633759076,inland,,0,1,1,0,1
1920,Andorra La Valla,Andorra,AN,POINT (168834.081915411 5236173.475221044),20719.0,7,1,169.73754732218742,inland,,0,1,1,0,1
2353,Luanda,Angola,AO,POINT (1473313.952495144 -984837.4753770076),6759313.0,1,1,0.2950611716294471,coast,,0,0,0,1,1
2369,Lubango,Angola,AO,POINT (1501922.501037818 -1679867.283072556),600751.0,3,0,135.39996981900302,inland,6158562.0,0,0,0,1,1
118,Buenos Aires,Argentina,AR,POINT (-6506605.724084264 -4112697.465926597),3121707.0,2,1,9.315992216914378,coast,,0,0,0,1,1
40,Mendoza,Argentina,AR,POINT (-7662120.726758549 -3881640.146013631),2043540.0,2,0,291.680298423906,inland,1078167.0,0,0,0,1,1
2503,Canberra,Australia,AS,POINT (16591280.37395597 -4211547.337648792),490181.0,4,1,135.86956189983505,inland,,0,0,0,1,1
1509,Newcastle,Australia,AS,POINT (16896022.82511578 -3885745.501469384),348539.0,4,0,0.3151599599679253,coast,141642.0,0,0,0,1,1
971,Vienna,Austria,AU,POINT (1816843.009624857 6140546.352434938),2005760.0,2,1,497.26234959508105,inland,,0,1,0,0,1
2237,Manama,Bahrain,BA,POINT (5630911.586702108 3025940.92552809),143035.0,5,1,1.9962565110131167,coast,,1,0,0,0,1
1564,Bridgetown,Barbados,BB,POINT (-6636405.688674965 1470687.656072058),5996.0,7,1,0.1870149313445605,coast,,1,0,1,0,1
2466,Gaborone,Botswana,BC,POINT (2888829.663737562 -2831582.514685547),246325.0,5,1,754.073682962601,inland,,0,1,0,0,1
1957,Brussels,Belgium,BE,POINT (486243.2506994755 6592512.098935912),196828.0,5,1,135.83718915476874,inland,,0,1,0,0,1
484,Nassau,The Bahamas,BF,POINT (-8609449.038538463 2883976.058592453),296522.0,4,1,1.4673914500305036,coast,,1,0,1,0,1
